Skin_Concern,Primary_Active,Primary_Evidence_Level,Primary_Effect_Weight,Upgrade_Active,Upgrade_Evidence_Level,Upgrade_Effect_Weight,Upgrade_Type,Works_Better_With,Required_Functional_Support,Safety_Floor,Min_Formulation_Gain,Upgrade_Reason,Confidence_Level,Do_Not_Upgrade,Release_Tier,Do_Not_Upgrade_Reason
PIH,Alpha Arbutin,Medium,0.55,Tranexamic Acid,High,0.82,Evidence,"Niacinamide,Panthenol","Barrier,Humectant",Low,15.0,Stronger inhibition of melanocyte activation via anti-plasmin pathway,High,NO,MVP,
PIH,Alpha Arbutin,Medium,0.55,Azelaic Acid,High,0.78,Multi-Pathway,"Niacinamide,Ceramides","Barrier,Soothing",LowModerate,15.0,Addresses pigmentation + inflammation + acne pathways,High,NO,Advanced,
PIH,Licorice Extract,Medium,0.45,Tranexamic Acid,High,0.82,Evidence,Niacinamide,Barrier,Low,15.0,Superior clinical evidence for melasma and PIH,High,NO,MVP,
PIH,Vitamin C Derivatives,Medium,0.5,L-Ascorbic Acid,High,0.9,Potency,"Vitamin E,Ferulic Acid",Antioxidant Stability,Moderate,20.0,Direct antioxidant and collagen-stimulating action,High,NO,MVP,
Acne,Niacinamide,Medium,0.5,Adapalene,High,0.9,Evidence,"Ceramides,Glycerin","Barrier,Soothing",Moderate,20.0,Normalizes follicular keratinization and prevents comedones,High,NO,MVP,
Acne,Salicylic Acid,Medium,0.6,Adapalene,High,0.9,Potency,"Niacinamide,Panthenol",Barrier,Moderate,20.0,Treats acne at cellular turnover level,High,NO,MVP,
Acne,Tea Tree Oil,Low,0.35,Salicylic Acid,Medium,0.6,Evidence,Zinc PCA,Sebum Control,Low,10.0,More reliable comedolytic and anti-inflammatory action,Medium,NO,Advanced,
Aging,Peptides,Medium,0.55,Retinoids,High,0.95,Evidence,"Ceramides,Niacinamide","Barrier,Soothing",Moderate,25.0,Stimulates collagen at gene-expression level,High,NO,Advanced,
Aging,Bakuchiol,Medium,0.5,Retinoids,High,0.95,Potency,"Ceramides,Panthenol",Barrier,Moderate,25.0,Retinoids show stronger anti-aging outcomes,High,NO,Advanced,
Aging,Coenzyme Q10,Medium,0.45,L-Ascorbic Acid,High,0.9,Multi-Pathway,"Vitamin E,Ferulic Acid",Antioxidant Network,Moderate,20.0,Stronger antioxidant synergy and collagen support,Medium,NO,Advanced,
Barrier,Ceramide Blend,Medium,0.6,Multi-Ceramide + Cholesterol,High,0.85,Multi-Pathway,Glycerin,Humectant,Low,15.0,Mimics physiological skin lipid ratio,High,NO,Advanced,
Barrier,Panthenol,Medium,0.5,Madecassoside,High,0.75,Evidence,Ceramides,Barrier Repair,Low,15.0,Stronger barrier recovery and anti-inflammatory action,High,NO,MVP,
Hydration,Hyaluronic Acid,Medium,0.55,Multi-MW Hyaluronic Acid,High,0.75,Potency,"Ceramides,Glycerin","Barrier,Humectant",Low,15.0,Improves hydration across skin layers,High,NO,MVP,
Hydration,Glycerin,Medium,0.5,Urea (low %),High,0.8,Evidence,Sodium PCA,NMF Support,Moderate,15.0,Enhances natural moisturizing factor,Medium,NO,Advanced,
Pores,Niacinamide,Medium,0.5,Retinoids,High,0.95,Multi-Pathway,Ceramides,Barrier,Moderate,20.0,Improves pore appearance via collagen remodeling,High,NO,Advanced,
Pores,Lactic Acid,Medium,0.55,Glycolic Acid,High,0.75,Potency,Panthenol,Barrier,Moderate,15.0,Deeper exfoliation and texture refinement,High,NO,MVP,
General,"1,4-Dioxane",Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,3-O-Ethyl Ascorbic Acid,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,4-Methoxysalicylic Acid Potassium Salt,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Acacia Senegal Gum,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
General,Acai Extract,Unknown,Baseline,,,,,,,,,No established upgrade pathway in literature,Low,TRUE,Base,No validated upgrade relationship
