INCI_Name,Effect_Strength_Weight,Evidence_Level_Normalized,Evidence_Factor,Final_Effect_Score,Evidence_Quality
Alpha Arbutin,0.75,Limited,0.4,0.3,Limited clinical evidence
Tranexamic Acid,0.85,Limited,0.4,0.34,Limited clinical evidence
Kojic Acid,0.7,Limited,0.4,0.28,Limited clinical evidence
Ferulic Acid,0.8,Moderate,0.7,0.55,Moderate clinical evidence
Tocopherol,0.65,Moderate,0.7,0.455,Moderate clinical evidence
Tocopheryl Acetate,0.6,Moderate,0.7,0.42,Moderate
Resveratrol,0.75,Moderate,0.7,0.52,Moderate clinical evidence
Green Tea Extract,0.7,Moderate,0.7,0.48,Moderate
Centella Asiatica Extract,0.8,Limited,0.4,0.32,Limited clinical evidence
Madecassoside,0.85,Limited,0.4,0.34,Limited clinical evidence
Asiaticoside,0.8,Limited,0.4,0.32,Limited clinical evidence
Urea,0.75,Limited,0.4,0.3,Strong Clinical
Glycerin,0.65,Limited,0.4,0.26,Strong Clinical
Sodium PCA,0.6,Limited,0.4,0.24,Moderate
Betaine,0.6,Limited,0.4,0.24,Moderate
Propylene Glycol,0.4,Limited,0.4,0.16,Moderate
Butylene Glycol,0.45,Limited,0.4,0.18,Moderate
Squalane,0.7,Limited,0.4,0.28,Moderate
Shea Butter,0.6,Limited,0.4,0.24,Moderate
Petrolatum,0.9,Limited,0.4,0.36,Strong Clinical
Dimethicone,0.75,Limited,0.4,0.3,Moderate
Cyclopentasiloxane,0.5,Limited,0.4,0.2,Moderate
Phenoxyethanol,0.2,Limited,0.4,0.08,Moderate
Ethylhexylglycerin,0.3,Limited,0.4,0.12,Strong Clinical
Sodium Benzoate,0.25,Limited,0.4,0.1,Moderate
Potassium Sorbate,0.25,Limited,0.4,0.1,Moderate
Disodium EDTA,0.15,Limited,0.4,0.06,Moderate
Citric Acid,0.2,Limited,0.4,0.08,Moderate
Sodium Citrate,0.2,Limited,0.4,0.08,Moderate
Carbomer,0.15,Limited,0.4,0.06,Moderate
Acrylates/C10-30 Alkyl Acrylate Crosspolymer,0.2,Limited,0.4,0.08,Moderate
Triethanolamine,0.1,Limited,0.4,0.04,Moderate
Xanthan Gum,0.15,Limited,0.4,0.06,Moderate
Hydroxyethylcellulose,0.15,Limited,0.4,0.06,Moderate
Polyacrylate-13,0.2,Limited,0.4,0.08,Moderate
Isohexadecane,0.35,Limited,0.4,0.14,Moderate
Caprylic/Capric Triglyceride,0.6,Limited,0.4,0.24,Moderate
Cetearyl Alcohol,0.6,Limited,0.4,0.24,Moderate
Cetyl Alcohol,0.55,Limited,0.4,0.22,Moderate
Stearyl Alcohol,0.55,Limited,0.4,0.22,Moderate
Ceteareth-20,0.25,Limited,0.4,0.1,Moderate
Polysorbate 20,0.3,Limited,0.4,0.12,Moderate
Polysorbate 80,0.3,Limited,0.4,0.12,Moderate
PEG-40 Hydrogenated Castor Oil,0.25,Limited,0.4,0.1,Moderate
Sodium Laureth Sulfate,0.5,Limited,0.4,0.2,Moderate
Sodium Lauryl Sulfate,0.45,Limited,0.4,0.18,Moderate
Cocamidopropyl Betaine,0.6,Limited,0.4,0.24,Moderate
Decyl Glucoside,0.7,Limited,0.4,0.28,Moderate
Coco Glucoside,0.7,Limited,0.4,0.28,Moderate
Sodium Cocoyl Isethionate,0.75,Limited,0.4,0.3,Moderate
Sodium Lauroyl Sarcosinate,0.7,Limited,0.4,0.28,Moderate
