INCI_Name,Ingredient_Class,Evidence_Strength,Effect_Strength_Weight,Evidence_Quality
Argireline,Active,3 (Fair),,Limited / Emerging
Arnica Montana Extract,Active,Limited,0.6,Limited / Emerging
Callus Culture Extract,Active,Limited,0.7,Limited / Emerging
DMAE,Active,3 (Fair),,Limited / Emerging
Exosome Extract,Active,Emerging,0.85,Limited / Emerging
Fermented Oil,Emollient,3 (Fair),,Limited / Emerging
Glucosyl Hesperidin,Active,Limited,0.6,Limited / Emerging
Human Adipose Stem Cell Conditioned Media,Active,Emerging,0.9,Limited / Emerging
Nicotinamide Mononucleotide,Active,Emerging clinical data,0.75,Limited / Emerging
Oligopeptide-24,Active,Limited,0.85,Limited / Emerging
Oligopeptide-68,Active,Limited,0.75,Limited / Emerging
Retinyl Linoleate,Active,Limited,0.55,Limited / Emerging
Senolytic Peptide Complex,Active,Pre-clinical and early clinical,0.8,Limited / Emerging
Vegan Polydeoxyribonucleotide,Active,Emerging data,0.85,Limited / Emerging
Vitamin K,Active,3 (Fair),,Limited / Emerging
"1,4-Dioxane",Safety,,,Moderate
Acai Extract,Active,,,Moderate
Acetyl Glucosamine,Active,,,Moderate
Acetyl Tetrapeptide,Active,,,Moderate
Acetyl Tetrapeptide-5,Active,Peer-reviewed,0.7,Moderate
Acetyl Tyrosinamide,Active,,,Moderate
Acetylarginyltryptophyl Diphenylglycine,Active,,,Moderate
Acrylates/C10-30 Alkyl Acrylate Crosspolymer,Functional,Regulatory,0.2,Moderate
Ahnfeltia Concinna Extract,Active,,,Moderate
Alanine,Active,Peer-reviewed,0.55,Moderate
Alaria Esculenta Extract,Active,,,Moderate
Alcohol Denat.,Functional,Regulatory,0.15,Moderate
Algae Exopolysaccharides,Active,,,Moderate
Algae Extract,Active,,,Moderate
Algin,Active,,,Moderate
Alginate,Functional,Regulatory,0.4,Moderate
Allantoin,Functional,Peer-reviewed,0.6,Moderate
Aloe Barbadensis Leaf Extract,Active,Peer-reviewed,0.7,Moderate
Aloe Barbadensis Leaf Juice,Functional,Peer-reviewed,0.6,Moderate
Aloe Vera,Active,,,Moderate
Alpha Lipoic,Active,4 (Good),,Moderate
Alpha-Glucan,Active,4 (Good),,Moderate
Alpha-Glucan Oligosaccharide,Active,Peer-reviewed,0.65,Moderate
Aluminum Starch Octenylsuccinate,Functional,Regulatory,0.3,Moderate
Amino Acids,Active,,,Moderate
Aminomethyl Propanol,Functional,Regulatory,0.2,Moderate
Ammonium Lactate,Functional,Peer-reviewed,0.7,Moderate
Anti-Ageing Peptides,Active,,,Moderate
Apple Extract,Active,,,Moderate
Apple Polyphenols,Active,,,Moderate
Apple Stem Cells,Active,,,Moderate
Aquagenium,Active,,,Moderate
Arachidyl Alcohol,Functional,Peer-reviewed,0.6,Moderate
Arachidyl Glucoside,Functional,Peer-reviewed,0.7,Moderate
Arbutin,Active,,,Moderate
Argan Oil,Functional,Peer-reviewed,0.65,Moderate
Arginine,Active,Peer-reviewed,0.7,Moderate
Arginine HCL,Active,,,Moderate
Arginine PCA,Active,,,Moderate
Arginine/Lysine Polypeptide,Active,,,Moderate
Ascophyllum Nodosum Extract,Active,,,Moderate
Ascorbyl Glucoside,Active,Peer-reviewed,0.7,Moderate
Ascorbyl Palmitate,Active,,,Moderate
Asparagopsis Armata Extract,Active,,,Moderate
Avene Thermal Water,Active,,,Moderate
Avocado Ferment,Active,,,Moderate
Avocado Oil,Functional,Peer-reviewed,0.7,Moderate
Azelaoyl Bis-Dipeptide,Active,,,Moderate
Azelaoyl Glycine,Active,Moderate,0.8,Moderate
BHA,Functional,Regulatory,0.3,Moderate
BHT,Functional,Regulatory,0.3,Moderate
Bakuchiol,Active,Peer-reviewed,0.7,Moderate
Beeswax,Functional,Peer-reviewed,0.6,Moderate
Behenyl Alcohol,Functional,Peer-reviewed,0.6,Moderate
Benzene,Safety,,,Moderate
Benzyl Alcohol,Functional,Regulatory,0.2,Moderate
Beta Glucan,Active,,,Moderate
Betaine,Functional,Peer-reviewed,0.6,Moderate
Betaine Salicylate,Active,Peer-reviewed,0.7,Moderate
Bilberry Extract,Active,,,Moderate
Bio-Active Glucosides,Active,,,Moderate
Biosaccharide Gum-1,Active,Peer-reviewed,0.7,Moderate
Biosaccharide Gum-2,Active,Peer-reviewed,0.7,Moderate
