INCI_Name,Aliases,Ingredient_Class,Functional_Category,Min_Effective_%,Optimal_%,Max_Safe_%,Primary_Benefits,Mechanism_of_Action,Skin_Concerns,Recommended_pH,Stability_Notes,Irritation_Risk,Comedogenicity_0_5,Pregnancy_Safety,Evidence_Strength,Avg_Time_To_Results,Effect_Strength_Weight,Synergistic_Ingredients,Contraindications,Red_Flag_Tags,Evidence_Level_Normalized,Evidence_Factor,Final_Effect_Score,Sun_Protection_Role,UV_Damage_Role,Tanning_Role
Alpha Arbutin,Arbutin;4-Hydroxyphenyl-alpha-D-glucopyranoside,Active,Brightening,0.2,1,2,Brightening,Tyrosinase inhibition,PIH;Melasma,4.5-6.5,Heat sensitive,Low,1.0,Generally safe,Limited,6-12 weeks,0.75,Niacinamide,Strong acids,Overclaim risk,Limited,0.4,0.3,,,Primary Melanin Suppressor
Tranexamic Acid,Tranexamic acid,Active,Brightening;Anti-inflammatory,2,3,5,Pigmentation reduction,Plasmin inhibition,Melasma;PIH,5.0-7.0,Stable,Low,0.0,Generally safe,Limited,8-12 weeks,0.85,Niacinamide;Azelaic Acid,None significant,,Limited,0.4,0.34,,,Primary Melanin Suppressor
Kojic Acid,Kojic acid,Active,Brightening,0.5,1,2,Pigmentation,Tyrosinase chelation,PIH;Melasma,4.0-5.0,Unstable;oxidizes,Medium,1.0,Caution,Limited,4-8 weeks,0.7,Vitamin C,Retinoids,High irritation risk,Limited,0.4,0.28,,,Primary Melanin Suppressor
Ferulic Acid,Ferulic acid,Active,Antioxidant,0.3,0.5,1,Photoprotection,Free radical scavenging,Photoaging,3.0-5.5,Light sensitive,Low,0.0,Safe,Moderate,Immediate,0.8,Vitamin C;Vitamin E,,,Moderate,0.7,0.5599999999999999,,Primary Antioxidant Support,
Tocopherol,Vitamin E,Active,Antioxidant,0.2,1,5,Barrier support,Lipid peroxidation inhibition,Dryness;Aging,5.0-7.0,Oxidizes,Low,2.0,Safe,Moderate,4-8 weeks,0.65,Vitamin C,,Overuse greasiness,Moderate,0.7,0.455,,Primary Antioxidant Support,
Tocopheryl Acetate,Vitamin E Acetate,Functional,Antioxidant,0.5,1,5,Barrier protection,Enzymatic conversion to tocopherol,Dryness,5.0-7.0,Stable,Low,2.0,Safe,Moderate,6-10 weeks,0.6,Ceramides,,Slower efficacy,Moderate,0.7,0.42,,,
Resveratrol,Resveratrol,Active,Antioxidant,0.3,1,3,Anti-aging,SIRT1 activation,Aging;Redness,5.0-6.5,Light sensitive,Medium,1.0,Safe,Moderate,6-12 weeks,0.75,Ferulic Acid,,Stability issues,Moderate,0.7,0.5249999999999999,,Primary Antioxidant Support,
Green Tea Extract,Camellia Sinensis Leaf Extract,Active,Antioxidant;Soothing,1,3,5,Anti-inflammatory,Polyphenol activity,Acne;Redness,5.0-7.0,Stable,Low,1.0,Safe,Moderate,4-8 weeks,0.7,Niacinamide,,,Moderate,0.7,0.4899999999999999,,Primary Antioxidant Support,
Centella Asiatica Extract,Cica;Gotu Kola,Active,Soothing;Repair,0.1,1,5,Barrier repair,TGF-beta stimulation,Sensitive skin,5.0-7.0,Stable,Low,0.0,Safe,Limited,2-6 weeks,0.8,Panthenol,,,Limited,0.4,0.3200000000000001,,,
Madecassoside,Madecassoside,Active,Barrier repair,0.05,0.2,1,Soothing,Anti-inflammatory signaling,Redness;Barrier damage,5.0-7.0,Stable,Low,0.0,Safe,Limited,2-4 weeks,0.85,Ceramides,,,Limited,0.4,0.34,,,
Asiaticoside,Asiaticoside,Active,Repair,0.05,0.2,1,Wound healing,Collagen synthesis,Post-acne marks,5.0-7.0,Stable,Low,0.0,Safe,Limited,4-8 weeks,0.8,Panthenol,,,Limited,0.4,0.3200000000000001,,,
Urea,Urea,Functional,Humectant;Keratolytic,2,10,40,Hydration;Scaling,Protein denaturation,Dry skin;KP,4.5-7.5,Stable,Medium,1.0,Safe,Limited,1-3 weeks,0.75,Lactic Acid,Inflamed skin,Stinging at high %,Limited,0.4,0.3,,,
Glycerin,Glycerol,Functional,Humectant,2,5,20,Hydration,Hygroscopic water binding,Dryness;Dehydration,3.0-10.0,Highly stable,Low,0.0,Safe,Limited,Immediate,0.65,Occlusives,,,Limited,0.4,0.26,,,
Sodium PCA,PCA sodium salt,Functional,Humectant,0.5,2,5,Hydration,NMF mimic,Dehydrated skin,4.0-7.0,Stable,Low,0.0,Safe,Limited,Immediate,0.6,Glycerin,,,Limited,0.4,0.24,,,
Betaine,Trimethylglycine,Functional,Osmoprotectant,0.5,3,10,Hydration;Soothing,Cell osmotic balance,Sensitive skin,4.0-7.0,Stable,Low,0.0,Safe,Limited,1-2 weeks,0.6,Panthenol,,,Limited,0.4,0.24,,,
Propylene Glycol,"1,2-Propanediol",Functional,Solvent;Humectant,1,5,20,Penetration aid,Solubilization,Dryness,3.0-10.0,Stable,Medium,1.0,Generally safe,Limited,Immediate,0.4,Glycerin,Compromised barrier,Irritation in sensitive skin,Limited,0.4,0.16,,,
Butylene Glycol,"1,3-Butanediol",Functional,Solvent;Humectant,1,5,20,Hydration,Solvent action,Dehydration,3.0-10.0,Stable,Low,1.0,Safe,Limited,Immediate,0.45,Glycerin,,,Limited,0.4,0.18,,,
Squalane,Squalane,Functional,Emollient,1,5,20,Barrier support,Lipid replenishment,Dry skin,4.0-8.0,Highly stable,Low,0.0,Safe,Limited,1-3 weeks,0.7,Ceramides,,,Limited,0.4,0.28,,,
Shea Butter,Butyrospermum Parkii Butter,Functional,Occlusive;Emollient,1,10,100,Barrier repair,Occlusion,Dry skin,5.0-7.0,Oxidation risk,Low,2.0,Safe,Limited,2-4 weeks,0.6,Oils,Acne-prone skin,Comedogenic risk,Limited,0.4,0.24,,,
