INCI_Name,Aliases,Ingredient_Class,Functional_Category,Min_Effective_%,Optimal_%,Max_Safe_%,Primary_Benefits,Mechanism_of_Action,Skin_Concerns,Recommended_pH,Stability_Notes,Irritation_Risk,Comedogenicity_0_5,Pregnancy_Safety,Evidence_Strength,Avg_Time_To_Results,Effect_Strength_Weight,Synergistic_Ingredients,Contraindications,Red_Flag_Tags,Evidence_Level_Normalized,Evidence_Factor,Final_Effect_Score,Sun_Protection_Role,UV_Damage_Role,Tanning_Role,Evidence_Quality,Role_Weight,Clinical_Weight,Sensitive_Skin_Risk,Formulation_Role,Biological_Action,Solubility,Usage_Type,pKa,LogP,MW_Daltons,Avg_Time_Category,Avg_Time_Notes,Regional_Restrictions,Activity_Tier,Activity_Tier_Weight
Alpha Arbutin,Arbutin;4-Hydroxyphenyl-alpha-D-glucopyranoside,Active,Brightening,0.2,1.0,2.0,Brightening; Tyrosinase inhibition,Tyrosinase inhibition,Pigmentation; Dullness,4.5-6.5,Heat sensitive,Low,1.0,Safe,Limited,6-12 weeks,0.75,Niacinamide,Strong acids,Overclaim risk,Limited,0.4,0.3,,,Primary Melanin Suppressor,Limited clinical evidence,4.0,4.0,Low,Skin Conditioning,Tyrosinase inhibition,Water,Leave-on,,-1.35,272.25,Long (8w+),6-12 weeks,"EU: 2% face / 0.5% body (Reg. EU 2024/996, eff. Feb 2025)",Tier 1: Primary Active,1.0
Tranexamic Acid,trans-4-(Aminomethyl)cyclohexanecarboxylic acid,Active,Brightening; Anti-inflammatory,2.0,3.0,5.0,Brightening; Soothing; Plasmin inhibition,Plasmin inhibition,Pigmentation; Dullness,5.0-7.0,Stable,Low,0.0,Safe,Limited,8-12 weeks,0.85,Niacinamide; Azelaic Acid,None significant,,Limited,0.4,0.34,,,Primary Melanin Suppressor,Limited clinical evidence,4.0,4.0,Low,Skin Conditioning,Plasmin inhibition,Water,Leave-on,10.3,-1.45,157.21,Long (8w+),8-12 weeks,,Tier 1: Primary Active,1.0
Kojic Acid,5-Hydroxy-2-(hydroxymethyl)-4H-pyran-4-one,Active,Brightening,0.5,1.0,2.0,Brightening; Tyrosinase chelation,Tyrosinase chelation,Pigmentation; Dullness,3.5-5.5,Unstable;oxidizes,Moderate,1.0,Insufficient data; consult doctor before use in pregnancy,Limited,4-8 weeks,0.7,Vitamin C,Retinoids,High irritation risk,Limited,0.4,0.28,,,Primary Melanin Suppressor,Limited clinical evidence,4.0,4.0,Medium,Skin Conditioning,Tyrosinase chelation,Water,Leave-on,7.9,-0.9,142.11,Mid (4-8w),4-8 weeks,"EU: 1% max face/hands (Reg. EU 2024/996, eff. Feb 2025)",Tier 1: Primary Active,1.0
Ferulic Acid,4-Hydroxy-3-methoxycinnamic acid,Active,Antioxidant,0.3,0.5,1.0,Photoprotection; Antioxidant,Free radical scavenging,Aging & Fine Lines; UV Damage,3.0-4.0,Light sensitive,Low,0.0,Safe,Moderate,Immediate,0.8,Vitamin C; Vitamin E,,,Moderate,0.7,0.55,,Primary Antioxidant Support,,Moderate clinical evidence,5.0,6.0,Low,Antioxidant,Free radical scavenging,Both,Leave-on,4.64,1.51,194.18,Immediate,Immediate,,Tier 2: Secondary Active,0.8
Tocopherol,Vitamin E,Active,Antioxidant,0.2,1.0,5.0,Barrier Support; Antioxidant; Lipid peroxidation inhibition,Lipid peroxidation inhibition,Aging & Fine Lines; Hydration; Barrier Repair; UV Damage,5.0-7.0,Oxidizes,Low,2.0,Safe,Moderate,4-8 weeks,0.65,Vitamin C,,Overuse greasiness,Moderate,0.7,0.455,,Primary Antioxidant Support,,Moderate clinical evidence,5.0,6.0,Low,Antioxidant,Lipid peroxidation inhibition,Oil,Leave-on,,10,430.71,Mid (4-8w),4-8 weeks,,Tier 2: Secondary Active,0.8
Tocopheryl Acetate,Vitamin E Acetate,Functional,Antioxidant,0.5,1.0,5.0,Barrier Support; Antioxidant; Enzymatic conversion to tocopherol,Enzymatic conversion to tocopherol,Hydration; Barrier Repair; UV Damage; Aging & Fine Lines,5.0-7.0,Stable,Low,2.0,Safe,Moderate,6-10 weeks,0.6,Ceramides,,Slower efficacy,Moderate,0.7,0.42,,,,Moderate,5.0,6.0,Low,Antioxidant,Enzymatic conversion to tocopherol,Oil,Leave-on,,11.3,472.74,Mid (4-8w),6-10 weeks,,Tier 2: Secondary Active,0.8
Resveratrol,"trans-Resveratrol; 3,5,4'-trihydroxystilbene",Active,Antioxidant,0.3,1.0,3.0,Anti-aging; Antioxidant; SIRT1 activation,SIRT1 activation,Aging & Fine Lines; Redness; UV Damage,5.0-6.5,Light sensitive,Moderate,1.0,Safe,Moderate,6-12 weeks,0.75,Ferulic Acid,,Stability issues,Moderate,0.7,0.52,,Primary Antioxidant Support,,Moderate clinical evidence,5.0,6.0,Medium,Antioxidant,SIRT1 activation,Both,Leave-on,,3.07,228.24,Long (8w+),6-12 weeks,,Tier 2: Secondary Active,0.8
Green Tea Extract,Camellia Sinensis Leaf Extract,Active,Antioxidant; Soothing,1.0,3.0,5.0,Soothing; Antioxidant; Polyphenol activity,Polyphenol activity,Redness; Acne & Oily Skin; UV Damage; Aging & Fine Lines,5.0-7.0,Stable,Low,1.0,Safe,Moderate,4-8 weeks,0.7,Niacinamide,,,Moderate,0.7,0.48,,Primary Antioxidant Support,,Moderate,5.0,6.0,Low,Antioxidant,Polyphenol activity,Water,Leave-on,,,,Mid (4-8w),4-8 weeks,,Tier 3: Bioactive Base,0.5
Centella Asiatica Extract,Cica;Gotu Kola,Active,Soothing; Repair,0.1,1.0,5.0,Barrier Support; Soothing; TGF-beta stimulation,TGF-beta stimulation,Barrier Repair; Sensitive Skin,5.0-7.0,Stable,Low,0.0,Safe,Limited,2-6 weeks,0.8,Panthenol,,,Limited,0.4,0.32,,,,Limited clinical evidence,4.0,4.0,Low,Skin Conditioning,TGF-beta stimulation,Water,Leave-on,,,,Short (1-4w),2-6 weeks,,Tier 2: Secondary Active,0.8
Madecassoside,Madecassoside glycoside; Asiaticoside analog,Active,Barrier repair,0.05,0.2,1.0,Soothing; Barrier Support,Anti-inflammatory signaling,Barrier Repair; Redness,5.0-7.0,Stable,Low,0.0,Safe,Limited,2-4 weeks,0.85,Ceramides,,,Limited,0.4,0.34,,,,4,8.0,4.0,Low,Skin Conditioning,Anti-inflammatory signaling,Both,Leave-on,,,,Short (1-4w),2-4 weeks,,Tier 2: Secondary Active,0.8
