INCI_Name,Aliases,Ingredient_Class,Functional_Category,Min_Effective_%,Optimal_%,Max_Safe_%,Primary_Benefits,Mechanism_of_Action,Skin_Concerns,Recommended_pH,Stability_Notes,Irritation_Risk,Comedogenicity_0_5,Pregnancy_Safety,Evidence_Strength,Avg_Time_To_Results,Effect_Strength_Weight,Synergistic_Ingredients,Contraindications,Red_Flag_Tags,Evidence_Level_Normalized,Evidence_Factor,Final_Effect_Score,Sun_Protection_Role,UV_Damage_Role,Tanning_Role,UV_Filter_Type,UV_Spectrum_Coverage,Photostability_Rating,Estimated_SPF_Contribution_Weight,UVA_Subtype_Coverage,Critical_Wavelength_Estimate,PA_Rating_Contribution_Level,Photodegradation_Risk,SPF_Synergy_Dependencies,Regulatory_US_Approved,Regulatory_EU_Approved,Regulatory_India_Approved,Regulatory_Australia_Approved,Regulatory_Japan_Approved
Alpha Arbutin,Arbutin;4-Hydroxyphenyl-alpha-D-glucopyranoside,Active,Brightening,0.2,1,2,Brightening,Tyrosinase inhibition,PIH;Melasma,4.5-6.5,Heat sensitive,Low,1.0,Generally safe,Limited,6-12 weeks,0.75,Niacinamide,Strong acids,Overclaim risk,Limited,0.4,0.3,,,Primary Melanin Suppressor,Organic,,,,,,,Moderate,,No,Yes,Yes,Yes,Yes
Tranexamic Acid,Tranexamic acid,Active,Brightening;Anti-inflammatory,2,3,5,Pigmentation reduction,Plasmin inhibition,Melasma;PIH,5.0-7.0,Stable,Low,0.0,Generally safe,Limited,8-12 weeks,0.85,Niacinamide;Azelaic Acid,None significant,,Limited,0.4,0.34,,,Primary Melanin Suppressor,Organic,,,,,,,Moderate,,No,Yes,Yes,Yes,Yes
Kojic Acid,Kojic acid,Active,Brightening,0.5,1,2,Pigmentation,Tyrosinase chelation,PIH;Melasma,4.0-5.0,Unstable;oxidizes,Medium,1.0,Caution,Limited,4-8 weeks,0.7,Vitamin C,Retinoids,High irritation risk,Limited,0.4,0.28,,,Primary Melanin Suppressor,Organic,,,,,,,Moderate,,No,Yes,Yes,Yes,Yes
Ferulic Acid,Ferulic acid,Active,Antioxidant,0.3,0.5,1,Photoprotection,Free radical scavenging,Photoaging,3.0-5.5,Light sensitive,Low,0.0,Safe,Moderate,Immediate,0.8,Vitamin C;Vitamin E,,,Moderate,0.7,0.5599999999999999,,Primary Antioxidant Support,,Organic,,,,,,,Moderate,,No,Yes,Yes,Yes,Yes
Tocopherol,Vitamin E,Active,Antioxidant,0.2,1,5,Barrier support,Lipid peroxidation inhibition,Dryness;Aging,5.0-7.0,Oxidizes,Low,2.0,Safe,Moderate,4-8 weeks,0.65,Vitamin C,,Overuse greasiness,Moderate,0.7,0.455,,Primary Antioxidant Support,,Organic,,,,,,,Moderate,,No,Yes,Yes,Yes,Yes
Resveratrol,Resveratrol,Active,Antioxidant,0.3,1,3,Anti-aging,SIRT1 activation,Aging;Redness,5.0-6.5,Light sensitive,Medium,1.0,Safe,Moderate,6-12 weeks,0.75,Ferulic Acid,,Stability issues,Moderate,0.7,0.5249999999999999,,Primary Antioxidant Support,,Organic,,,,,,,Moderate,,No,Yes,Yes,Yes,Yes
Green Tea Extract,Camellia Sinensis Leaf Extract,Active,Antioxidant;Soothing,1,3,5,Anti-inflammatory,Polyphenol activity,Acne;Redness,5.0-7.0,Stable,Low,1.0,Safe,Moderate,4-8 weeks,0.7,Niacinamide,,,Moderate,0.7,0.4899999999999999,,Primary Antioxidant Support,,Organic,,,,,,,Moderate,,No,Yes,Yes,Yes,Yes
Coenzyme Q10,Ubiquinone,Active,Antioxidant,0.1,0.5,1,Anti-aging,Mitochondrial electron transport,Aging;Photoaging,5.0-7.0,Light sensitive,Low,1.0,Safe,Moderate,8-12 weeks,0.8,Vitamin E,,Overpricing risk,Moderate,0.7,0.5599999999999999,,Primary Antioxidant Support,,Organic,,,,,,,Moderate,,No,Yes,Yes,Yes,Yes
Idebenone,Hydroxydecyl Ubiquinone,Active,Antioxidant,0.05,0.5,1,Anti-aging,Free radical scavenging,Photoaging,5.0-7.0,Light sensitive,Low,1.0,Safe,Moderate,6-10 weeks,0.85,Vitamin C,,Marketing exaggeration,Moderate,0.7,0.595,,Primary Antioxidant Support,,Organic,,,,,,,Moderate,,No,Yes,Yes,Yes,Yes
Glutathione,Glutathione,Active,Brightening;Antioxidant,0.1,0.5,2,Tone evening,Melanin pathway modulation,Pigmentation,5.0-7.0,Oxidation sensitive,Low,0.0,Safe,Moderate,8-12 weeks,0.7,Vitamin C,,Stability issues,Moderate,0.7,0.4899999999999999,,Primary Antioxidant Support,,Organic,,,,,,,Moderate,,No,Yes,Yes,Yes,Yes
