INCI_Name,Aliases,Ingredient_Class,Functional_Category,Min_Effective_%,Optimal_%,Max_Safe_%,Primary_Benefits,Mechanism_of_Action,Skin_Concerns,Recommended_pH,Stability_Notes,Irritation_Risk,Comedogenicity_0_5,Pregnancy_Safety,Evidence_Strength,Avg_Time_To_Results,Effect_Strength_Weight,Synergistic_Ingredients,Contraindications,Red_Flag_Tags,Evidence_Level_Normalized,Evidence_Factor,Final_Effect_Score,Sun_Protection_Role,UV_Damage_Role,Tanning_Role,Evidence_Quality,Role_Weight,Clinical_Weight,Sensitive_Skin_Risk
Alpha Arbutin,Arbutin;4-Hydroxyphenyl-alpha-D-glucopyranoside,Active,Brightening,0.2,1,2,Brightening; Tyrosinase inhibition,Tyrosinase inhibition,Pigmentation; Dullness,4.5-6.5,Heat sensitive,Low,1,Generally safe,Limited,6-12 weeks,0.75,Niacinamide,Strong acids,Overclaim risk,Limited,0.4,0.3,,,Primary Melanin Suppressor,Limited clinical evidence,4,4,Low
Tranexamic Acid,Tranexamic acid,Active,Brightening;Anti-inflammatory,2,3,5,Brightening; Soothing; Plasmin inhibition,Plasmin inhibition,Pigmentation; Dullness,5.0-7.0,Stable,Low,0,Generally safe,Limited,8-12 weeks,0.85,Niacinamide;Azelaic Acid,None significant,,Limited,0.4,0.34,,,Primary Melanin Suppressor,Limited clinical evidence,4,4,Low
Kojic Acid,Kojic acid,Active,Brightening,0.5,1,2,Brightening; Tyrosinase chelation,Tyrosinase chelation,Pigmentation; Dullness,4.0-5.0,Unstable;oxidizes,Medium,1,Caution,Limited,4-8 weeks,0.7,Vitamin C,Retinoids,High irritation risk,Limited,0.4,0.28,,,Primary Melanin Suppressor,Limited clinical evidence,4,4,Medium
Ferulic Acid,Ferulic acid,Active,Antioxidant,0.3,0.5,1,Photoprotection; Antioxidant,Free radical scavenging,Aging & Fine Lines; UV Damage,3.0-5.5,Light sensitive,Low,0,Safe,Moderate,Immediate,0.8,Vitamin C;Vitamin E,,,Moderate,0.7,0.55,,Primary Antioxidant Support,,Moderate clinical evidence,5,6,Low
Tocopherol,Vitamin E,Active,Antioxidant,0.2,1,5,Barrier Support; Antioxidant; Lipid peroxidation inhibition,Lipid peroxidation inhibition,Aging & Fine Lines; Hydration; Barrier Repair; UV Damage,5.0-7.0,Oxidizes,Low,2,Safe,Moderate,4-8 weeks,0.65,Vitamin C,,Overuse greasiness,Moderate,0.7,0.455,,Primary Antioxidant Support,,Moderate clinical evidence,5,6,Low
Tocopheryl Acetate,Vitamin E Acetate,Functional,Antioxidant,0.5,1,5,Barrier Support; Antioxidant; Enzymatic conversion to tocopherol,Enzymatic conversion to tocopherol,Hydration; Barrier Repair; UV Damage; Aging & Fine Lines,5.0-7.0,Stable,Low,2,Safe,Moderate,6-10 weeks,0.6,Ceramides,,Slower efficacy,Moderate,0.7,0.42,,,,Moderate,5,6,Low
Resveratrol,Resveratrol,Active,Antioxidant,0.3,1,3,Anti-aging; Antioxidant; SIRT1 activation,SIRT1 activation,Aging & Fine Lines; Redness; UV Damage,5.0-6.5,Light sensitive,Medium,1,Safe,Moderate,6-12 weeks,0.75,Ferulic Acid,,Stability issues,Moderate,0.7,0.52,,Primary Antioxidant Support,,Moderate clinical evidence,5,6,Medium
Green Tea Extract,Camellia Sinensis Leaf Extract,Active,Antioxidant;Soothing,1,3,5,Soothing; Antioxidant; Polyphenol activity,Polyphenol activity,Redness; Acne & Oily Skin; UV Damage; Aging & Fine Lines,5.0-7.0,Stable,Low,1,Safe,Moderate,4-8 weeks,0.7,Niacinamide,,,Moderate,0.7,0.48,,Primary Antioxidant Support,,Moderate,5,6,Low
Centella Asiatica Extract,Cica;Gotu Kola,Active,Soothing;Repair,0.1,1,5,Barrier Support; Soothing; TGF-beta stimulation,TGF-beta stimulation,Barrier Repair; Sensitive Skin,5.0-7.0,Stable,Low,0,Safe,Limited,2-6 weeks,0.8,Panthenol,,,Limited,0.4,0.32,,,,Limited clinical evidence,4,4,Low
Madecassoside,Madecassoside,Active,Barrier repair,0.05,0.2,1,Soothing; Barrier Support,Anti-inflammatory signaling,Barrier Repair; Redness,5.0-7.0,Stable,Low,0,Safe,Limited,2-4 weeks,0.85,Ceramides,,,Limited,0.4,0.34,,,,Limited clinical evidence,8,4,Low
Asiaticoside,Asiaticoside,Active,Repair,0.05,0.2,1,Wound healing; Barrier Support; Collagen synthesis,Collagen synthesis,Acne & Oily Skin; Barrier Repair,5.0-7.0,Stable,Low,0,Safe,Limited,4-8 weeks,0.8,Panthenol,,,Limited,0.4,0.32,,,,Limited clinical evidence,4,4,Low
Urea,Urea,Functional,Humectant;Keratolytic,2,10,40,Hydration; Exfoliation / Texture; Protein denaturation,Protein denaturation,Uneven Texture; Hydration,4.5-7.5,Stable,Medium,1,Safe,Limited,1-3 weeks,0.75,Lactic Acid,Inflamed skin,Stinging at high %,Limited,0.4,0.3,,,,Strong Clinical,7,4,Medium
Glycerin,Glycerol,Functional,Humectant,2,5,20,Hydration; Hygroscopic water binding,Hygroscopic water binding,Hydration; Barrier Repair,3.0-10.0,Highly stable,Low,0,Safe,Limited,Immediate,0.65,Occlusives,,,Limited,0.4,0.26,,,,Strong Clinical,7,4,Low
Sodium PCA,PCA sodium salt,Functional,Humectant,0.5,2,5,Hydration; NMF mimic,NMF mimic,Hydration,4.0-7.0,Stable,Low,0,Safe,Limited,Immediate,0.6,Glycerin,,,Limited,0.4,0.24,,,,Moderate,7,4,Low
Betaine,Trimethylglycine,Functional,Osmoprotectant,0.5,3,10,Hydration; Soothing; Osmoprotectant; Cell osmotic balance,Cell osmotic balance,Hydration; Sensitive Skin,4.0-7.0,Stable,Low,0,Safe,Limited,1-2 weeks,0.6,Panthenol,,,Limited,0.4,0.24,,,,Moderate,4,4,Low
Propylene Glycol,"1,2-Propanediol",Functional,Solvent;Humectant,1,5,20,Penetration aid; Solvent; Hydration; Solubilization,Solubilization,Hydration,3.0-10.0,Stable,Low for most; higher in eczema/sensitive skin,1,Generally safe,Limited,Immediate,0.4,Glycerin,Compromised barrier,Can cause allergic/irritant dermatitis in a small %; caution in eczema,Limited,0.4,0.16,,,,Moderate,7,4,High
